ordem,id,camada,grupo,tipo_origem,modalidade,geometria_esperada,estado_dados_v20,registros_locais,fonte_primaria,url_servico,fonte_documental,url_download,licenca_ou_termos,data_corte,atualizacao_fonte,crs,escala_resolucao,nivel_validacao,precisao,restricao_uso,limitacoes,responsavel_compilacao,versao
37,patrimonio_material_tombado,Bens materiais tombados pelo IPHAN — base oficial,cultura,download oficial,officialxlsx,Point exato ou sede municipal representativa,capturável sob demanda e importável manualmente,0,"IPHAN. Planilha oficial de bens tombados e em processo de tombamento, edição de maio de 2026. Geometria exata preservada quando presente; na ausência, usa sede municipal representativa.",https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,Conteúdo institucional sob CC BY-ND 3.0 conforme portal gov.br; compilação espacial e metadados autorais sob CC BY 4.0.,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte; posicionamento municipal derivado quando necessário,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
38,patrimonio_estadual_estacoes_ferroviarias,Referências cartográficas preliminares — Patrimônio estadual e estações ferroviárias inventariadas,cultura,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"Fundação de Cultura de Mato Grosso do Sul, guias e inventários patrimoniais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.fundacaodecultura.ms.gov.br/informativos/guias-e-manuais/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
39,museus_pontos_memoria,Museus e pontos de memória — MuseusBr/IBRAM,cultura,API oficial pública,tainacan,Point oficial ou sede municipal representativa,capturável sob demanda e importável manualmente,0,"IBRAM. Cadastro Nacional de Museus na Plataforma MuseusBr, coleção pública Tainacan. O atlas retém somente campos institucionais necessários e não reproduz contatos pessoais.",https://cadastro.museus.gov.br/wp-json/tainacan/v2/collection/208/items/,https://cadastro.museus.gov.br/,https://cadastro.museus.gov.br/instrumentos-de-documentacao/tainacan/,Dados abertos MuseusBr; preservar atribuição ao IBRAM e o status de verificação de cada registro.,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,cadastro oficial ou colaborativo conforme status declarado na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
40,bibliotecas_arquivos,"Referências cartográficas preliminares — Bibliotecas públicas, comunitárias e arquivos",cultura,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,Captura espacial OpenStreetMap. Validação pelo SNBP e Sistema Estadual de Bibliotecas de MS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.gov.br/cultura/pt-br/assuntos/sistema-nacional-de-bibliotecas-publicas-snbp/pnld-bibliotecas/pnld-mato-grosso-do-sul,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
41,espacos_culturais,"Referências cartográficas preliminares — Centros culturais, teatros e outros espaços culturais",cultura,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,Mapa da Cultura e Mapa Cultural de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://dados.cultura.gov.br/dataset/mapa-da-cultura,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
42,unidades_conservacao,Unidades de conservação — CNUC,ambiente,serviço oficial dinâmico,wfs,Polygon ou MultiPolygon,capturável sob demanda,0,"CNUC/MMA. Captura oficial por WFS do ICMBio/INDE, com recorte espacial de Mato Grosso do Sul e espelho PAMGIA como contingência.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,"Creative Commons Atribuição no recurso CNUC. Preservar atribuição, metadados e termos da fonte.",2026-08-06,CNUC março de 2026; WFS consultado sob demanda,EPSG:4326,Não informada,oficial na fonte; recorte técnico do atlas,Declarada no registro local ou preservada da fonte; consultar metadados,"Não implica compatibilidade de uma rota com plano de manejo, autorização de visitação ou decisão de gestão","Disponibilidade externa, CORS, atualização e precisão dos limites e atributos","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
43,parque_nacional_serra_bodoquena,Parque Nacional da Serra da Bodoquena,ambiente,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,"CNUC, MMA, ICMBio e PAMGIA IBAMA. Recorte filtrado da unidade federal",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_unidades_conserva%C3%A7%C3%A3o_mma_a/FeatureServer/0,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/cerrado/lista-de-ucs/parna-da-serra-da-bodoquena,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
44,mapa_bacias_uepgrh,"Bacias, sub-bacias e unidades de planejamento hídrico",ambiente,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,SEMADESC e PIN MS. Sub-bacias do Paraguai e Paraná e UEPGRH,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/79,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
45,mapa_disponibilidade_hidrica,Disponibilidade hídrica superficial e água disponível no solo,ambiente,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,SEMADESC e PIN MS. Disponibilidade hídrica superficial e água disponível no solo,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
46,mapa_qualidade_agua_ana,Qualidade da água e estações de monitoramento,ambiente,portal externo,external,Conforme fonte,consulta externa,0,ANA. Rede Nacional de Monitoramento da Qualidade da Água,https://qualidadedaagua.ana.gov.br/,https://www.gov.br/ana/pt-br/assuntos/monitoramento-e-eventos-criticos/qualidade-da-agua,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
47,mapa_focos_calor_risco,"Focos de calor, áreas queimadas e risco de fogo",ambiente,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,IBAMA PAMGIA e INPE Programa Queimadas. Focos atualizados e acesso a risco e áreas queimadas,https://pamgia.ibama.gov.br/server/rest/services/DDA/focos_calor_dda/MapServer,https://data.inpe.br/queimadas/painel-do-fogo/,https://data.inpe.br/queimadas/dados-abertos/,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
48,mapa_climatico_ms,"Mapa climático, precipitação e temperatura",ambiente,portal externo,external,Conforme fonte,consulta externa,0,"CEMTEC MS e INMET. Estações, séries meteorológicas e produtos climáticos",https://www.cemtec.ms.gov.br/bancodedados/,https://portal.inmet.gov.br/,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
49,cavernas_canie,Cavidades naturais subterrâneas — CANIE/CECAV,ambiente,serviço oficial dinâmico,wfs,Point,capturável sob demanda,0,"CANIE/CECAV/ICMBio. Captura oficial por WFS do ICMBio/INDE, com recorte de Mato Grosso do Sul e espelho Infra S.A. como contingência.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/canie/,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/cav_canie_geral_19122022.zip/view,"Reutilização permitida com citação da fonte CANIE, conforme instruções do CECAV. Preservar limitações e metadados.",2026-08-06,WFS consultado sob demanda; arquivo manual de referência publicado pelo ICMBio,EPSG:4326 / SIRGAS 2000 na fonte,Não informada,nível de validação preservado quando disponível na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,"Não converter automaticamente em destino visitável; conferir acesso, proteção e sensibilidade arqueológica",O cadastro não representa todas as cavernas e pode conter coordenadas orientadoras pendentes de validação,"Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
50,barragens_snisb,Barragens cadastradas no SNISB — consulta oficial,ambiente,portal externo,external,Point representativo,consulta externa,0,"ANA, Sistema Nacional de Informações sobre Segurança de Barragens",https://www.snisb.gov.br/consultar-barragem/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
51,centros_visitantes_trilhas,"Referências cartográficas preliminares — Centros de visitantes, trilhas e acessos autorizados",ambiente,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"ICMBio, IMASUL e planos de manejo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.gov.br/icmbio/pt-br/dados-icmbio/dados_geoespaciais,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
52,pantanal_monitoramento_fogo,Monitoramento de focos de calor no Pantanal,ambiente,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,IBAMA. Serviço histórico de focos no Pantanal e referência ao Pantanal em Alerta,https://pamgia.ibama.gov.br/server/rest/services/Focos_Pantanal_Historico_MIL1/MapServer,https://www.gov.br/ibama/pt-br/assuntos/noticias/2024/ibama-lanca-plataforma-pantanal-em-alerta,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
53,cadastur_hospedagem,Cadastur oficial — meios de hospedagem por município,turismo,dados abertos oficiais CKAN,ckan,Sede municipal representativa,capturável sob demanda e importável manualmente,0,"Ministério do Turismo. Cadastur, conjunto de meios de hospedagem. Os registros são agregados por município para evitar exposição desnecessária de dados cadastrais individuais.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/meios-de-hospedagem,,"Open Database License, ODbL, conforme catálogo do Ministério do Turismo.",2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte; síntese municipal derivada pelo atlas,Declarada no registro local ou preservada da fonte; consultar metadados,O atlas publica somente sínteses municipais e não expõe dados pessoais ou cadastrais individualizados.,A quantidade depende da data do arquivo e da situação cadastral registrada no Cadastur.,"Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
54,cadastur_agencias_guias,"Cadastur oficial — agências, guias e transportadoras por município",turismo,dados abertos oficiais CKAN,ckan,Sede municipal representativa,capturável sob demanda e importável manualmente,0,"Ministério do Turismo. Cadastur, agências, guias e transportadoras. Dados agregados por município e categoria; nomes, CPF, telefone, e-mail e endereços individuais não são publicados pelo atlas.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/?tags=Cadastur,,"Open Database License, ODbL, conforme catálogo do Ministério do Turismo.",2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte; síntese municipal derivada pelo atlas,Declarada no registro local ou preservada da fonte; consultar metadados,O atlas publica somente sínteses municipais e não expõe dados pessoais ou cadastrais individualizados.,A quantidade depende da data do arquivo e da situação cadastral registrada no Cadastur.,"Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
55,centros_atendimento_turista,Referências cartográficas preliminares — Centros de atendimento ao turista,turismo,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,Captura espacial OpenStreetMap. Validação pela Fundtur MS e órgãos municipais Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.turismo.ms.gov.br/informacoes-turisticas/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
56,turismo_rural_comunitario,"Referências cartográficas preliminares — Turismo rural, comunitário e propriedades de visitação",turismo,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"Fundtur MS, Cadastur e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.turismo.ms.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
57,regioes_municipios_turisticos,Regiões e municípios do Mapa do Turismo Brasileiro,turismo,portal externo,external,Conforme fonte,consulta externa,0,"Ministério do Turismo, Programa de Regionalização do Turismo",https://www.gov.br/turismo/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/programa-de-regionalizacao-do-turismo-2/mapa-do-turismo-brasileiro/mapa-do-turismo-brasileiro,https://dados.turismo.gov.br/pt_BR/dataset/mapa-do-turismo-brasileiro,,ODbL conforme catálogo de dados abertos do Ministério do Turismo,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
58,ferrovias_operacao,Ferrovias concedidas em operação,mobilidade,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,ANTT e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Ferrovias_Concedidas_em_opera%C3%A7%C3%A3o/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
59,terminais_ferroviarios,Terminais e pátios ferroviários,mobilidade,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,Infra S.A. e ANTT,https://geo.infrasa.gov.br/server/rest/services/Hosted/Terminal_Ferrovi%C3%A1rio/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
60,instalacoes_portuarias,"Portos, terminais e instalações portuárias",mobilidade,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,ANTAQ e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Terminais_Portu%C3%A1rias/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
61,hidrovia_paraguai_ven_antaq,Hidrovia do Paraguai e vias economicamente navegadas — ANTAQ,mobilidade,download geoespacial oficial,officialzip,LineString ou MultiLineString,capturável sob demanda e importável manualmente,0,"ANTAQ. Vias Interiores Economicamente Navegadas, VEN 2022, com recorte espacial de Mato Grosso do Sul. Deve ser distinguida do projeto de concessão de 600 km da Hidrovia do Rio Paraguai.",https://www.gov.br/antaq/pt-br/central-de-conteudos/SHP_VEN2022completo.zip,https://www.gov.br/antaq/pt-br/central-de-conteudos/informacoes-geograficas,https://www.gov.br/antaq/pt-br/central-de-conteudos/SHP_VEN2022completo.zip,Conteúdo ANTAQ sob CC BY-ND 3.0 conforme portal; preservar atribuição e integridade da fonte.,2026-08-06,,,,oficial na fonte; recorte espacial técnico do atlas,,"Não interpretar como autorização de navegação, condição operacional, calado garantido ou traçado cultural.",VEN 2022 é uma base econômica e regulatória. O projeto de concessão da Hidrovia do Paraguai possui objeto e recorte próprios.,,v1.6.0
62,aeroportos_aerodromos,Aeroportos e aeródromos,mobilidade,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,ANAC e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Aeroportos/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
63,terminais_rodoviarios,Referências cartográficas preliminares — Estações e terminais rodoviários municipais,mobilidade,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,Captura espacial OpenStreetMap. Validação operacional pela AGEMS e municípios Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.agems.ms.gov.br/informativo/transporte-rodoviario-intermunicipal/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
64,terminais_rodoviarios_fronteiras,"Referências cartográficas preliminares — Pontes, passagens e pontos de fronteira",mobilidade,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"Infra S.A., DNIT e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://geoportal.infrasa.gov.br/ontl/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
65,condicao_pavimento,"Condição do pavimento, obras e interrupções",mobilidade,portal externo,external,Conforme fonte,consulta externa,0,DNIT Dados Abertos,https://www.gov.br/dnit/pt-br/acesso-a-informacao/dados-abertos/conjuntos-de-dados,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
66,concessoes_rodoviarias,Concessões rodoviárias e operação,mobilidade,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,ANTT e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Hosted/Concess%C3%B5es_Rodovi%C3%A1rias/FeatureServer/35,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
67,mapa_solos_ms,Mapa de solos de Mato Grosso do Sul 1:250.000,paisagem,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,IMASUL e PIN MS. Solos de Mato Grosso do Sul na escala 1:250.000,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/42,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,1:250.000,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
