id_decreto,numero,nome,municipio,interesse_oficial,descricao_oficial_resumida,localizacao_oficial,tipo_geometria_prevista,status_geometria,latitude,longitude,fonte_coordenada,confianca_coordenada,status_inventario,fonte_decreto,publicacao,data_compilacao,registro_sigep,numero_sigep,situacao_sigep,fonte_sigep
DEC12897-45,45,Estância Li,Bonito,Geológico,Evidência do fechamento da Bacia Corumbá e formação da Faixa Paraguai.,Município de Bonito,ponto,georreferenciado,-20.96944444444444,-56.53083333333333,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-46,46,Estância Mimosa,Bonito / Bodoquena,Geológico e paisagístico,Tufas calcárias.,Estrada MS-178 entre Bonito e Bodoquena,ponto,georreferenciado,-20.966666666666665,-56.5,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-47,47,Rio do Peixe,Bonito / Bodoquena,Geológico e paisagístico,Tufas calcárias.,Estrada MS-178 entre Bonito e Bodoquena,ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-48,48,Mineração Horii,Bonito / Bodoquena,Geológico,Paredões do Calcário Tamengo.,Estrada MS-178 entre Bonito e Bodoquena,ponto,georreferenciado,-20.59777777777777,-56.68694444444444,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-49,49,"Tufas calcárias, MS-382",Bonito,Geológico,Tufas calcárias fossilíferas com impressões de folhas.,"Estrada MS-382, município de Bonito",ponto,georreferenciado,-21.02361111111111,-56.61972222222222,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,Sim,034,Registro SIGEP identificado,https://sigep.eco.br/sitio034/sitio034.pdf
DEC12897-50,50,Nascentes e grutas Ceita Core,Bonito,Geológico e paisagístico,"Tufas calcárias, nascentes e grutas.",Município de Bonito,ponto,georreferenciado,-20.84111111111111,-56.59305555555556,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-51,51,Buraco do Japonês ou dos Fósseis,Jardim,"Geológico, paleontológico e cultural",Ocorrência de fósseis pleistocênicos.,Município de Jardim,ponto,georreferenciado,-21.594166666666663,-56.66,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-52,52,Gruta e Nascente do Rio Formoso,Bonito,"Geológico, paleontológico e cultural",Ocorrência de fósseis pleistocênicos.,Município de Bonito,ponto,georreferenciado,-21.256944444444443,-56.63666666666666,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-53,53,"Lagoas Hiperalcalinas, salinas",Parque Estadual do Pantanal do Rio Negro,"Geológico, ecológico, paisagístico e cultural",Georroteiro com lagoas hiperalcalinas e geossítios ecológicos e culturais.,Parque Estadual do Pantanal do Rio Negro,área ou georroteiro,geometria de área ou georroteiro pendente,,,,geometria linear ou de área ainda não incorporada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-54,54,Roteiro Histórico da Retirada da Laguna,Bela Vista / Guia Lopes da Laguna / Jardim / Nioaque / Anastácio / Aquidauana,Histórico e cultural,Georroteiro com sítios históricos e culturais associados à Retirada da Laguna.,"Bela Vista, Guia Lopes da Laguna, Jardim, Nioaque, Anastácio e Aquidauana",linha,geometria de linha pendente,,,,geometria linear ou de área ainda não incorporada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
