referencia_index,grupo_bibliografico,url,camadas_antes,camadas_depois,quantidade_camadas,metodo_vinculacao,confianca,observacao
109,Cartografia colaborativa,https://www.openstreetmap.org,campus_ensino_superior | patrimonio_estadual_estacoes_ferroviarias | bibliotecas_arquivos | espacos_culturais | centros_visitantes_trilhas | centros_atendimento_turista | turismo_rural_comunitario | terminais_rodoviarios | terminais_rodoviarios_fronteiras | artesanato_producao_tradicional | gastronomia_mercados_feiras | unidades_saude | bombeiros_seguranca | combustivel_oficinas_descanso | acessibilidade_servicos | acessibilidade_rodoviaria_estimada_rotas_base_externa,campus_ensino_superior | patrimonio_estadual_estacoes_ferroviarias | bibliotecas_arquivos | espacos_culturais | centros_visitantes_trilhas | centros_atendimento_turista | turismo_rural_comunitario | terminais_rodoviarios | terminais_rodoviarios_fronteiras | artesanato_producao_tradicional | gastronomia_mercados_feiras | unidades_saude | bombeiros_seguranca | combustivel_oficinas_descanso | acessibilidade_servicos | acessibilidade_rodoviaria_estimada_rotas_base_externa,16,componente_transversal,alta,
110,Terras indígenas,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,terras_indigenas_poligonos,terras_indigenas_poligonos,1,coincidencia_url + regra_explicita,alta,
111,Terras indígenas,https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/lim_terra_indigena_a/FeatureServer/12,terras_indigenas_poligonos,terras_indigenas_poligonos,1,coincidencia_url + regra_explicita,alta,
112,Territórios quilombolas,https://www.gov.br/incra/pt-br/assuntos/governanca-fundiaria/quilombolas,territorios_quilombolas_poligonos,territorios_quilombolas_poligonos,1,regra_explicita,alta,
113,Territórios quilombolas,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_quilombos_incra_a/FeatureServer/0,territorios_quilombolas_poligonos,territorios_quilombolas_poligonos,1,coincidencia_url + regra_explicita,alta,
114,Assentamentos rurais,https://www.gov.br/incra/pt-br/assuntos/reforma-agraria/assentamentos-relacao-de-projetos,assentamentos_rurais_incra,assentamentos_rurais_incra,1,regra_explicita,alta,
115,Assentamentos rurais,https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/assentamentos_incra/FeatureServer/1,assentamentos_rurais_incra,assentamentos_rurais_incra,1,coincidencia_url + regra_explicita,alta,
116,Barragens,https://www.snisb.gov.br,barragens_snisb,barragens_snisb,1,regra_explicita,alta,
117,Vulnerabilidade territorial,https://censo2022.ibge.gov.br/panorama,vulnerabilidade_territorial_censo_2022,vulnerabilidade_territorial_censo_2022,1,coincidencia_url + regra_explicita,alta,
118,Regionalização turística,https://www.gov.br/turismo/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/programa-de-regionalizacao-do-turismo-2/mapa-do-turismo-brasileiro/mapa-do-turismo-brasileiro,regioes_municipios_turisticos,regioes_municipios_turisticos,1,coincidencia_url + regra_explicita,alta,
119,Patrimônio estadual e ferroviário,https://www.fundacaodecultura.ms.gov.br/informativos/guias-e-manuais,patrimonio_estadual_estacoes_ferroviarias,patrimonio_estadual_estacoes_ferroviarias,1,coincidencia_url + regra_explicita,alta,
120,Geologia,https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer/7,mapa_geologico_ms | inventario_geocientifico_fase3,mapa_geologico_ms | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
121,Geologia,https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer,mapa_geologico_ms | inventario_geocientifico_fase3,mapa_geologico_ms | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
122,Hidrogeologia,https://rigeo.sgb.gov.br/handle/doc/25365,mapa_hidrogeologico_ms | inventario_geocientifico_fase3,mapa_hidrogeologico_ms | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
123,Hidrogeologia,https://geoportal.sgb.gov.br/server/rest/services/hidrologia/Mapa_Hidrogeologico_Atlas_Brasil/MapServer/1,mapa_hidrogeologico_ms | inventario_geocientifico_fase3,mapa_hidrogeologico_ms | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
124,Hidrogeologia,https://www.sgb.gov.br/mapas-para-download,mapa_hidrogeologico_ms | inventario_geocientifico_fase3,mapa_hidrogeologico_ms | inventario_geocientifico_fase3,2,regra_explicita,alta,
125,Hidrogeologia,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,sistema_aquifero_guarani_ana,sistema_aquifero_guarani_ana,1,coincidencia_url + regra_explicita,alta,
126,Geomorfologia,https://bdiaweb.ibge.gov.br,mapa_geomorfologico_ibge | inventario_geocientifico_fase3,mapa_geomorfologico_ibge | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
127,Geomorfologia,https://www.ibge.gov.br/geociencias/informacoes-ambientais/geomorfologia/10870-geomorfologia.html,mapa_geomorfologico_ibge | inventario_geocientifico_fase3,mapa_geomorfologico_ibge | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
128,Altimetria,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/5,mapa_altimetria_ms | inventario_geocientifico_fase3,mapa_altimetria_ms | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
129,Geomorfometria,https://data.inpe.br/dados/topodata,mapa_declividade_topodata | inventario_geocientifico_fase3,mapa_declividade_topodata | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
130,Solos,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/42,mapa_solos_ms,mapa_solos_ms,1,coincidencia_url + regra_explicita,alta,
131,Zoneamento Agroecológico,https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms,mapa_fragilidade_ambiental_zae | mapa_macrozoneamento_zae | mapa_zoneamento_agroecologico_ms,mapa_fragilidade_ambiental_zae | mapa_macrozoneamento_zae | mapa_zoneamento_agroecologico_ms,3,coincidencia_url + regra_explicita,alta,
132,Vegetação,https://www.pinms.ms.gov.br/arcgis/rest/services/SGI/Vegetacao_RADAM_MS/MapServer,mapa_vegetacao_original_radam,mapa_vegetacao_original_radam,1,coincidencia_url + regra_explicita,alta,
133,Uso da terra,https://brasil.mapbiomas.org/colecoes-mapbiomas,uso_cobertura_solo | mapa_mudancas_uso_solo,uso_cobertura_solo | mapa_mudancas_uso_solo,2,regra_explicita,alta,
134,Uso da terra,https://brasil.mapbiomas.org/estatisticas,uso_cobertura_solo | mapa_mudancas_uso_solo,uso_cobertura_solo | mapa_mudancas_uso_solo,2,coincidencia_url + regra_explicita,alta,
135,Planejamento territorial,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/38,mapa_zee_ms,mapa_zee_ms,1,coincidencia_url + regra_explicita,alta,
136,Recursos hídricos,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,mapa_bacias_uepgrh,mapa_bacias_uepgrh,1,coincidencia_url + regra_explicita,alta,
137,Recursos hídricos,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,mapa_disponibilidade_hidrica,mapa_disponibilidade_hidrica,1,coincidencia_url + regra_explicita,alta,
138,Qualidade da água,https://qualidadedaagua.ana.gov.br,mapa_qualidade_agua_ana,mapa_qualidade_agua_ana,1,coincidencia_url + regra_explicita,alta,
139,Fogo,https://data.inpe.br/queimadas/painel-do-fogo,mapa_focos_calor_risco,mapa_focos_calor_risco,1,coincidencia_url + regra_explicita,alta,
140,Fogo,https://pamgia.ibama.gov.br/server/rest/services/DDA/focos_calor_dda/MapServer,mapa_focos_calor_risco,mapa_focos_calor_risco,1,coincidencia_url + regra_explicita,alta,
141,Recursos minerais,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer/0,mapa_recursos_minerais_ms | inventario_geocientifico_fase3,mapa_recursos_minerais_ms | inventario_geocientifico_fase3,2,coincidencia_url + regra_explicita,alta,
142,Clima,https://www.cemtec.ms.gov.br/bancodedados,mapa_climatico_ms,mapa_climatico_ms,1,coincidencia_url + regra_explicita,alta,
143,Clima,https://portal.inmet.gov.br,mapa_climatico_ms,mapa_climatico_ms,1,coincidencia_url + regra_explicita,alta,
144,Geodiversidade,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,geossitios_decreto_12897_2009 | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,retirada_laguna_nodos_municipais | geossitios_decreto_12897_2009 | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,5,regra_explicita,alta,
145,Geodiversidade,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/85f3f8665191e580042578b50066ba59?OpenDocument,geodiversidade_candidatos | potencial_geocientifico_territorial_250km2,geodiversidade_candidatos | potencial_geocientifico_territorial_250km2,2,regra_explicita,alta,
146,Geodiversidade,https://sigep.eco.br/sitio037/sitio037.pdf,lugares_interesse_geologico_propostos | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,lugares_interesse_geologico_propostos | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
147,Geodiversidade,https://sigep.eco.br/sitio034/sitio034.pdf,lugares_interesse_geologico_propostos | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,lugares_interesse_geologico_propostos | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
148,Povos originários,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,terras_indigenas_poligonos,terras_indigenas_poligonos,1,coincidencia_url + regra_explicita,alta,
149,Conservação,https://www.gov.br/icmbio/pt-br/assuntos/dados_geoespaciais_mapa_tematico-e-dados_geoestatisticos/dados_geoespaciais,unidades_conservacao | parque_nacional_serra_bodoquena,unidades_conservacao | parque_nacional_serra_bodoquena,2,regra_explicita,alta,
150,Fronteira,https://www.gov.br/receitafederal/pt-br,municipios_pontos_fronteira_alfandegados | terminais_rodoviarios_fronteiras,municipios_pontos_fronteira_alfandegados | terminais_rodoviarios_fronteiras,2,regra_explicita,alta,
151,Pantanal e fogo,https://pamgia.ibama.gov.br/server/rest/services/Focos_Pantanal_Historico_MIL1/MapServer,pantanal_monitoramento_fogo,pantanal_monitoramento_fogo,1,coincidencia_url + regra_explicita,alta,
152,Riscos e governança territorial,https://www.defesacivil.ms.gov.br/unidade-administrativa/departamento-de-gestao-de-riscos-e-desastres,riscos_sazonalidade,riscos_sazonalidade,1,coincidencia_url + regra_explicita,alta,
153,Riscos e governança territorial,https://www.defesacivil.ms.gov.br/programas-e-projetos/monitoracao,riscos_sazonalidade,riscos_sazonalidade,1,coincidencia_url + regra_explicita,alta,
154,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/trilhas-de-longo-curso-em-mato-grosso-do-sul-rota-dos-pioneiros-e-aviturismo-nas-regioes-vale-das-aguas-e-cone-sul,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,8,regra_explicita,alta,
155,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/mato-grosso-do-sul-lanca-rota-do-cerrado-e-nova-marca-para-o-aviturismo-durante-o-avistar-brasil-2025,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,8,regra_explicita,alta,
156,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/confira-os-destaques-de-mato-grosso-do-sul-na-17a-avistar-brasil-2024,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,8,regra_explicita,alta,
157,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/mato-grosso-do-sul-reforca-compromisso-com-o-turismo-de-observacao-de-aves-na-global-birdfair-2025,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,8,regra_explicita,alta,
158,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/rota-bioceanica-potencializara-o-turismo-em-mato-grosso-do-sul,municipios_pontos_fronteira_alfandegados | rodovias_estaduais | rodovias_federais | rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,municipios_pontos_fronteira_alfandegados | rodovias_estaduais | rodovias_federais | rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,11,regra_explicita,alta,
159,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/regiao-turistica-rota-norte-recebe-i-seminario-regional-do-folclore-moncoeiro,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,8,regra_explicita,alta,
160,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/rota-pantanal-bonito-recebeu-em-2015-mais-de-422-mil-turistas,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,8,regra_explicita,alta,
161,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/mato-grosso-do-sul-lanca-guia-de-afroturismo-e-apresenta-estrategia-para-fortalecer-o-segmento,localidades_quilombolas_ibge | rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,localidades_quilombolas_ibge | rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,9,regra_explicita,alta,
162,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/tourist-regions,rotas_culturais_propostas | pontos_interesse_itinerarios | regioes_municipios_turisticos | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | regioes_municipios_turisticos | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,9,regra_explicita,alta,
163,Rotas institucionais e itinerários em estudo,https://www.turismo.ms.gov.br/conheca-ms/artesanato,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | artesanato_producao_tradicional | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | artesanato_producao_tradicional | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | interacoes_rotas_unidades_conservacao | cavidades_proximas_rotas_estudo,9,regra_explicita,alta,
164,Roteamento e acessibilidade,https://github.com/Project-OSRM/osrm-backend/blob/master/docs/http.md,acessibilidade_rodoviaria_estimada_rotas_base_externa,acessibilidade_rodoviaria_estimada_rotas_base_externa,1,coincidencia_url + regra_explicita,alta,
165,Áreas protegidas e espeleologia,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,unidades_conservacao | parque_nacional_serra_bodoquena,unidades_conservacao | parque_nacional_serra_bodoquena | interacoes_rotas_unidades_conservacao | cavidades_em_unidades_conservacao,4,coincidencia_url + regra_explicita,alta,
166,Áreas protegidas e espeleologia,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/canie,cavernas_canie,cavernas_canie | cavidades_proximas_rotas_estudo | cavidades_em_unidades_conservacao,3,coincidencia_url + regra_explicita,alta,
167,Patrimônio material,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,patrimonio_material_tombado,patrimonio_material_tombado,1,coincidencia_url + regra_explicita,alta,
168,Patrimônio material,https://dados.cultura.gov.br/dataset?organization=iphan&res_format=CSV,patrimonio_material_tombado,patrimonio_material_tombado,1,regra_explicita,alta,
169,Turismo e Cadastur,https://dados.turismo.gov.br/pt_BR/dataset/meios-de-hospedagem,cadastur_hospedagem,cadastur_hospedagem,1,coincidencia_url + regra_explicita,alta,
170,Turismo e Cadastur,https://dados.turismo.gov.br/pt_BR/dataset/?tags=Cadastur,cadastur_hospedagem | cadastur_agencias_guias,cadastur_hospedagem | cadastur_agencias_guias,2,coincidencia_url + regra_explicita,alta,
171,Turismo e Cadastur,https://www.gov.br/conecta/catalogo/apis/cadastur-cadastro-de-prestadores-de-servicos-turisticos,cadastur_hospedagem | cadastur_agencias_guias,cadastur_hospedagem | cadastur_agencias_guias,2,regra_explicita,alta,
172,Uso e cobertura da terra,https://doi.org/10.58053/MapBiomas/SJZOLT,uso_cobertura_solo | mapa_mudancas_uso_solo,uso_cobertura_solo | mapa_mudancas_uso_solo,2,regra_explicita,alta,
173,Hidrovias e navegação,https://www.gov.br/antaq/pt-br/central-de-conteudos/informacoes-geograficas,hidrovia_paraguai_ven_antaq,hidrovia_paraguai_ven_antaq,1,coincidencia_url + regra_explicita,alta,
174,Hidrovias e navegação,https://www.gov.br/antaq/pt-br/assuntos/projetos-de-concessao/novas-concessoes-hidroviarias/paraguai,hidrovia_paraguai_ven_antaq,hidrovia_paraguai_ven_antaq,1,regra_explicita,alta,
175,Cartografia cultural e indicadores espaciais,https://doi.org/10.1111/csp2.41,rotas_culturais_propostas | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | polos_estruturantes_itinerarios_culturais_250km2,2,regra_explicita,alta,
176,Metodologia dos indicadores territoriais,https://openarchive.icomos.org/id/eprint/3141/,rotas_culturais_propostas | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | polos_estruturantes_itinerarios_culturais_250km2,2,regra_explicita,alta,
177,Metodologia dos indicadores territoriais,https://oei.int/wp-content/uploads/2026/05/manual-rutas-e-itinerarios-culturales-para-iberoamerica-final-v18-mayo-2025.pdf,rotas_culturais_propostas | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | polos_estruturantes_itinerarios_culturais_250km2,2,regra_explicita,alta,
178,Metodologia dos indicadores territoriais,https://unesdoc.unesco.org/ark:/48223/pf0000260675_eng,potencial_geocientifico_territorial_250km2,potencial_geocientifico_territorial_250km2,1,regra_explicita,alta,
179,Metodologia dos indicadores territoriais,https://www.unesco.org/en/iggp/geoparks/about,potencial_geocientifico_territorial_250km2,potencial_geocientifico_territorial_250km2,1,regra_explicita,alta,
180,Metodologia dos indicadores territoriais,https://www.unesco.org/en/iggp/geoparks/proposals,potencial_geocientifico_territorial_250km2,potencial_geocientifico_territorial_250km2,1,regra_explicita,alta,
181,Metodologia dos indicadores territoriais,https://doi.org/10.1038/163688a0,potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,2,regra_explicita,alta,
182,Metodologia dos indicadores territoriais,https://doi.org/10.3406/ecoap.1955.2522,polos_estruturantes_itinerarios_culturais_250km2,polos_estruturantes_itinerarios_culturais_250km2,1,regra_explicita,alta,
183,Caminho para os Ervais,https://periodicosonline.uems.br/index.php/fronteiracidadania/article/view/2625,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,6,regra_explicita,alta,
184,Caminho para os Ervais,https://doi.org/10.5944/etfvi.13.2020.27170,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,6,regra_explicita,alta,
185,Caminho para os Ervais,https://doi.org/10.24302/prof.v7iEd.esp.2610,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,6,regra_explicita,alta,
186,Caminho para os Ervais,https://editoraufsm.com.br/ultimos-lancamentos/desenvolvimento-regional-ebook.html,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,6,regra_explicita,alta,
187,Caminho para os Ervais,https://doi.org/10.32358/rpd.2022.v8.605,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento,6,regra_explicita,alta,
188,Extensão e ativação geocientífica,https://www.ufms.br/47a-oficiencia-sera-em-rio-verde-de-mato-grosso/,ativacao_geocientifica_extensao,ativacao_geocientifica_extensao,1,regra_explicita,alta,
189,Extensão e ativação geocientífica,https://cdn.diariodoestadoms.com.br/upload/dn_arquivo/2025/03/jornal-25-de-marco-de-2025-comprimido.pdf,ativacao_geocientifica_extensao,ativacao_geocientifica_extensao,1,regra_explicita,alta,
190,Extensão e ativação geocientífica,https://doi.org/10.5335/rep.v33.17418,ativacao_geocientifica_extensao,ativacao_geocientifica_extensao,1,regra_explicita,alta,
