municipio,codigo_ibge,indice_disponibilidade,classe_disponibilidade,diversidade_camadas,registros_ponderados,populacao_2025,contagens_por_camada,pesos_por_camada,formula,unidade_analise,versao_metodo,data_calculo,natureza_indicador,rank_base,rank_p05_sensibilidade,rank_mediano_sensibilidade,rank_p95_sensibilidade,estabilidade_classe_pct,analise_sensibilidade,limitacao
Guia Lopes da Laguna,5004106,11.0,Disponibilidade documental média,3,6.0,10116,"{""geossitios_decreto"": 1, ""localidades_indigenas"": 1, ""retirada_laguna"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,32,32,32.0,32,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Iguatemi,5004304,9.92,Disponibilidade documental média,1,6.0,13960,"{""localidades_indigenas"": 4}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,33,33,33.0,34,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Nioaque,5005806,48.7,Disponibilidade documental muito alta,4,43.0,13354,"{""geossitios_decreto"": 2, ""localidades_indigenas"": 16, ""localidades_quilombolas"": 6, ""retirada_laguna"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,10,8,10.0,11,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Paranhos,5006358,45.9,Disponibilidade documental muito alta,1,42.0,13368,"{""localidades_indigenas"": 28}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,11,10,11.0,11,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Porto Murtinho,5006903,36.48,Disponibilidade documental muito alta,2,32.0,12721,"{""geossitios_decreto"": 5, ""localidades_indigenas"": 13}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,15,14,15.0,15,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Sete Quedas,5007703,5.34,Disponibilidade documental emergente,1,1.5,11322,"{""localidades_indigenas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,45,42,45.0,45,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Sonora,5007935,5.94,Disponibilidade documental emergente,1,2.0,14813,"{""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,39,39,39.0,40,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Tacuru,5007950,51.84,Disponibilidade documental muito alta,1,48.0,11205,"{""localidades_indigenas"": 32}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,8,7,8.0,9,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Terenos,5008008,8.01,Disponibilidade documental média,1,4.0,18182,"{""localidades_quilombolas"": 2}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,37,36,37.0,37,51.2,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Água Clara,5000203,3.4,Disponibilidade documental emergente,0,0.0,17901,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,61,61,61.0,61,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Dourados,5003702,59.14,Disponibilidade documental muito alta,3,53.0,264017,"{""festividades"": 1, ""localidades_indigenas"": 32, ""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,6,6,6.0,6,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Três Lagoas,5008305,4.13,Disponibilidade documental emergente,0,0.0,143523,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,46,46,46.0,46,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Amambai,5000609,92.8,Disponibilidade documental muito alta,1,88.5,41751,"{""localidades_indigenas"": 59}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,1,1,1.0,3,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Anastácio,5000708,14.32,Disponibilidade documental média,3,9.0,24781,"{""geossitios_decreto"": 1, ""localidades_indigenas"": 3, ""retirada_laguna"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,28,27,28.0,29,85.2,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Aparecida do Taboado,5001003,3.58,Disponibilidade documental emergente,0,0.0,29826,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,53,53,53.0,53,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Aquidauana,5001102,89.75,Disponibilidade documental muito alta,5,83.0,48689,"{""festividades"": 1, ""geossitios_decreto"": 1, ""localidades_indigenas"": 49, ""localidades_quilombolas"": 1, ""retirada_laguna"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,3,2,3.0,3,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Bataguassu,5001904,5.61,Disponibilidade documental emergente,1,1.5,24222,"{""localidades_indigenas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,41,39,42.0,43,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Bela Vista,5002100,14.87,Disponibilidade documental média,4,9.0,21881,"{""geossitios_decreto"": 1, ""localidades_indigenas"": 2, ""fronteira"": 1, ""retirada_laguna"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,26,26,26.0,27,65.8,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Bonito,5002209,72.42,Disponibilidade documental muito alta,4,66.5,25034,"{""festividades"": 2, ""geossitios_decreto"": 21, ""geossit"": 2, ""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,5,2,5.0,5,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Caarapó,5002407,50.71,Disponibilidade documental muito alta,1,46.5,32748,"{""localidades_indigenas"": 31}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,9,8,9.0,10,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Cassilândia,5002902,3.47,Disponibilidade documental emergente,0,0.0,21565,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,57,57,57.0,57,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Chapadão do Sul,5002951,3.63,Disponibilidade documental emergente,0,0.0,34606,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,49,49,49.0,49,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Costa Rica,5003256,3.57,Disponibilidade documental emergente,0,0.0,28740,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,54,54,54.0,54,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Coxim,5003306,3.62,Disponibilidade documental emergente,0,0.0,33440,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,50,50,50.0,50,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Fátima do Sul,5003801,3.47,Disponibilidade documental emergente,0,0.0,21504,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,58,58,58.0,58,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Itaporã,5004502,42.72,Disponibilidade documental muito alta,2,38.0,25263,"{""localidades_indigenas"": 24, ""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,13,12,13.0,13,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Itaquiraí,5004601,3.44,Disponibilidade documental emergente,0,0.0,20060,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,60,60,60.0,60,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Ivinhema,5004700,3.58,Disponibilidade documental emergente,0,0.0,30001,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,52,52,52.0,52,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Jardim,5005004,23.81,Disponibilidade documental alta,3,18.5,24504,"{""geossitios_decreto"": 6, ""localidades_indigenas"": 1, ""retirada_laguna"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,19,17,18.0,21,67.6,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Ladário,5005202,19.28,Disponibilidade documental alta,3,14.0,22425,"{""patrimonio_imaterial"": 2, ""festividades"": 1, ""geossit"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,22,20,22.0,24,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Maracaju,5005400,16.55,Disponibilidade documental alta,3,11.0,48073,"{""festividades"": 1, ""localidades_indigenas"": 4, ""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,25,24,25.0,25,98.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Miranda,5005608,88.14,Disponibilidade documental muito alta,1,84.0,26512,"{""localidades_indigenas"": 56}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,4,2,4.0,5,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Mundo Novo,5005681,5.54,Disponibilidade documental emergente,1,1.5,20087,"{""fronteira"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,43,39,42.0,45,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Nova Alvorada do Sul,5006002,3.5,Disponibilidade documental emergente,0,0.0,23409,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,56,56,56.0,56,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Paranaíba,5006309,3.7,Disponibilidade documental emergente,0,0.0,42638,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,48,48,48.0,48,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
