ordem,id_camada,camada,grupo,fonte_primaria,url_servico,fonte_documental,url_download,licenca_ou_termos,nivel_validacao,data_corte,versao
72,mapa_macrozoneamento_zae,Macrozoneamento de solos e apoio ao ZAE,paisagem,SEMADESC e PIN MS. Macrozoneamento de solos e água disponível como apoio territorial ao ZAE,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
73,mapa_zoneamento_agroecologico_ms,Zoneamento Agroecológico de Mato Grosso do Sul,paisagem,"SEMADESC e Embrapa Solos. Zonas agroecológicas, aptidões e restrições territoriais",https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,https://www.semadesc.ms.gov.br/zoneamento-agroecologico-sul-mato-grossense-sera-apresentado-em-evento-de-capacitacao-tecnica-da-semadesc/,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
74,areas_exploratorias_influencia_cartografica,Áreas exploratórias de influência cartográfica,paisagem,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,exploratória,2026-08-06,v1.6.0
75,artesanato_producao_tradicional,Referências cartográficas preliminares — Artesanato e produção tradicional,paisagem,"Mapa da Cultura, BCR IPHAN e levantamentos comunitários Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://mapas.cultura.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
76,gastronomia_mercados_feiras,"Referências cartográficas preliminares — Feiras, mercados, casas de artesanato e gastronomia tradicional",paisagem,"Captura espacial OpenStreetMap. Validação por inventários municipais, Fundtur MS e Mapa da Cultura Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://mapas.cultura.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
77,unidades_saude,"Referências cartográficas preliminares — Hospitais, unidades de saúde e urgência",apoio,CNES e DATASUS Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://datasus.saude.gov.br/cnes-estabelecimentos/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
78,bombeiros_seguranca,"Referências cartográficas preliminares — Bombeiros, polícia e pontos de segurança",apoio,"CBMMS, SEJUSP e Polícia Civil de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.bombeiros.ms.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
79,combustivel_oficinas_descanso,"Referências cartográficas preliminares — Combustível, oficinas e áreas de descanso",apoio,Levantamentos operacionais e bases municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
80,acessibilidade_servicos,"Referências cartográficas preliminares — Acessibilidade, banheiros, água e serviços ao visitante",apoio,"Cadastur, equipamentos públicos e verificação de campo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
81,cobertura_telefonia_movel,"Cobertura de telefonia móvel 2G, 3G, 4G e 5G",apoio,"Anatel Mosaico SMP. Importação dos SHP oficiais por tecnologia, operadora e intensidade prevista",https://dados.gov.br/dados/conjuntos-dados/cobertura_movel,https://sistemas.anatel.gov.br/se/public/cmap.php,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
82,indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,Resultado estável v1.6.0 com fórmula e sensibilidade documentadas. Exclui rotas e produtos derivados para evitar circularidade,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,exploratória,2026-08-06,v1.6.0
83,trechos_itinerarios,Trechos esquemáticos derivados das propostas metodológicas,analise,Segmentação cartográfica revisável dos 31 desenhos metodológicos do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,exploratória,2026-08-06,v1.6.0
84,pre_avaliacao_cartografica_itinerarios,Pré-avaliação cartográfica descritiva dos itinerários,analise,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,exploratória,2026-08-06,v1.6.0
85,mapa_zee_ms,Zoneamento Ecológico Econômico de Mato Grosso do Sul,analise,IMASUL e PIN MS. ZEE MS disponível no serviço cartográfico estadual,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/38,https://www.semadesc.ms.gov.br/wp-content/uploads/2018/04/Consolida%C3%A7%C3%A3o-ZEE-2%C2%AA-Aproxima%C3%A7%C3%A3o.pdf,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
86,vulnerabilidade_territorial_censo_2022,Vulnerabilidade territorial e indicadores do Censo 2022,analise,"IBGE, Censo Demográfico 2022 e agregados territoriais",https://censo2022.ibge.gov.br/panorama/,,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
87,corredores_exploratorios_aprofundamento,Eixos exploratórios para aprofundamento,analise,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,exploratória,2026-08-06,v1.6.0
88,riscos_sazonalidade,"Riscos, sazonalidade e restrições operacionais",analise,"Defesa Civil de Mato Grosso do Sul, CEMTEC, planos de manejo e validação de campo",https://www.defesacivil.ms.gov.br/unidade-administrativa/departamento-de-gestao-de-riscos-e-desastres/,https://www.defesacivil.ms.gov.br/programas-e-projetos/monitoracao/,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
89,acessibilidade_rodoviaria_estimada_rotas_base_externa,Acessibilidade rodoviária estimada das rotas com base externa,analise,Cálculo científico sob demanda com OSRM e rede OpenStreetMap para 7 rotas com base institucional ou documental direta e 2 propostas híbridas.,,https://github.com/Project-OSRM/osrm-backend/blob/master/docs/http.md,,Geometria derivada de OpenStreetMap sob ODbL 1.0; atributos metodológicos autorais sob CC BY 4.0,estimativa técnica não validada em campo,2026-08-06,v1.6.0
90,interacoes_rotas_unidades_conservacao,Interações exploratórias entre rotas e unidades de conservação,analise,Cruzamento geométrico em sessão entre propostas metodológicas de rotas e polígonos CNUC carregados.,,PROTOCOLO_CNUC_CANIE.md,,CC BY 4.0 para atributos metodológicos; geometrias e atributos de origem mantêm os termos do CNUC,exploratória; não substitui análise jurídica ou de manejo,2026-08-06,v1.6.0
91,cavidades_proximas_rotas_estudo,Cavidades próximas às rotas em estudo,analise,Cálculo em sessão da menor distância entre cavidades CANIE e os traçados esquemáticos das rotas. Limiar exploratório de 50 km.,,PROTOCOLO_CNUC_CANIE.md,,CC BY 4.0 para atributos metodológicos; dados CANIE mantêm atribuição e limitações da fonte,exploratória; proximidade não implica visitação ou integração cultural,2026-08-06,v1.6.0
92,cavidades_em_unidades_conservacao,Cavidades registradas em unidades de conservação,analise,Cruzamento pontual em sessão entre cavidades CANIE e polígonos CNUC carregados.,,PROTOCOLO_CNUC_CANIE.md,,CC BY 4.0 para atributos metodológicos; fontes CNUC e CANIE conservam seus termos,exploratória; depende da precisão e atualização das duas fontes,2026-08-06,v1.6.0
93,pre_avaliacao_geocientifica_geoparques_250km2,Polos geocientíficos para pré-avaliação de possíveis geoparques — 250 km²,analise,"Geossítios compilados do atlas, CANIE/CECAV/ICMBio, CNUC/MMA e limites municipais oficiais PIN MS/IMASUL",,PROTOCOLO_PRE_AVALIACAO_GEOPARQUES_250KM2.md,,"CC BY 4.0 para geometria, atributos e metodologia autorais; fontes de entrada conservam seus termos.","pré-avaliação cartográfica exploratória; não demonstra valor geológico internacional, governança ou elegibilidade UNESCO",2026-08-06,v1.6.0
94,polos_estruturantes_itinerarios_culturais_250km2,Polos territoriais estruturantes para itinerários culturais — 250 km²,analise,"IPHAN patrimônio material, BCR/IPHAN, inventário de festividades, MuseusBr/IBRAM, IBGE localidades indígenas e quilombolas e limites municipais oficiais",,PROTOCOLO_POLOS_ITINERARIOS_CULTURAIS_250KM2.md,,"CC BY 4.0 para geometria, atributos e metodologia autorais; fontes de entrada conservam seus termos.","exploratória e auditável; não constitui rota, prioridade pública, autorização de acesso ou certificação PRICI",2026-08-06,v1.6.0
95,indice_cenario_sessao,Cenário temporário calculado com camadas carregadas,analise,Cálculo opcional da sessão. Não altera o índice estável e não incorpora automaticamente as rotas em estudo,,,,CC BY 4.0 para os produtos autorais do projeto,exploratória,2026-08-06,v1.6.0
96,dados_usuario,Dados importados pelo usuário,analise,"Arquivo fornecido pelo usuário. O atlas não valida conteúdo, licença ou precisão",,,,Responsabilidade do usuário,não validada,2026-08-06,v1.6.0
